#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance
1427	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	255	-1	0	-1	1	0.525992	-1	0	0	0	A2B16-02	N/A	./TR-PTAs-UPLC-0105.pklbin1427	-1	TC-ISDB-o.mgf	0.0670251	N/A	N/A	N/A	27	0
842	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	119	-1	0	-1	1	0.568481	-1	0	0	0	A1B22-05	N/A	./TR-PTAs-UPLC-0105.pklbin842	-1	TC-ISDB-o.mgf	0.201091	N/A	N/A	N/A	34	0
842	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	118	-1	0	-1	1	0.563936	-1	0	0	0	A1B22-04	N/A	./TR-PTAs-UPLC-0105.pklbin842	-1	TC-ISDB-o.mgf	0.201091	N/A	N/A	N/A	34	0
842	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	102	-1	0	-1	1	0.561725	-1	0	0	0	A1B19-02	N/A	./TR-PTAs-UPLC-0105.pklbin842	-1	TC-ISDB-o.mgf	0.201091	N/A	N/A	N/A	24	0
842	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	96	-1	0	-1	1	0.559453	-1	0	0	0	A1B17-05	N/A	./TR-PTAs-UPLC-0105.pklbin842	-1	TC-ISDB-o.mgf	0.201091	N/A	N/A	N/A	34	0
842	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	92	-1	0	-1	1	0.559046	-1	0	0	0	A1B17-01	N/A	./TR-PTAs-UPLC-0105.pklbin842	-1	TC-ISDB-o.mgf	0.201091	N/A	N/A	N/A	21	0
1763	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	95	-1	0	-1	1	0.679343	-1	0	0	0	A1B17-04	N/A	./TR-PTAs-UPLC-0105.pklbin1763	-1	TC-ISDB-o.mgf	3.0834	N/A	N/A	N/A	31	0
1763	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	70	-1	0	-1	1	0.644364	-1	0	0	0	A1B12-03	N/A	./TR-PTAs-UPLC-0105.pklbin1763	-1	TC-ISDB-o.mgf	3.0834	N/A	N/A	N/A	22	0
1763	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	119	-1	0	-1	1	0.62837	-1	0	0	0	A1B22-05	N/A	./TR-PTAs-UPLC-0105.pklbin1763	-1	TC-ISDB-o.mgf	3.0834	N/A	N/A	N/A	32	0
1763	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	118	-1	0	-1	1	0.627395	-1	0	0	0	A1B22-04	N/A	./TR-PTAs-UPLC-0105.pklbin1763	-1	TC-ISDB-o.mgf	3.0834	N/A	N/A	N/A	32	0
1763	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	101	-1	0	-1	1	0.623854	-1	0	0	0	A1B19-01	N/A	./TR-PTAs-UPLC-0105.pklbin1763	-1	TC-ISDB-o.mgf	3.0834	N/A	N/A	N/A	29	0
547	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	155	-1	0	-1	1	0.528783	-1	0	0	0	A1B30-01	N/A	./TR-PTAs-UPLC-0105.pklbin547	-1	TC-ISDB-o.mgf	4.46813	N/A	N/A	N/A	45	0
606	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	65	-1	0	-1	1	0.52614	-1	0	0	0	A1B11-02	N/A	./TR-PTAs-UPLC-0105.pklbin606	-1	TC-ISDB-o.mgf	1.40144	N/A	N/A	N/A	30	0
310	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	299	-1	0	-1	1	0.509443	-1	0	0	0	A2B25-01	N/A	./TR-PTAs-UPLC-0105.pklbin310	-1	TC-ISDB-o.mgf	0.403939	N/A	N/A	N/A	48	0
551	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	25	-1	0	-1	1	0.528916	-1	0	0	0	A1B3-01	N/A	./TR-PTAs-UPLC-0105.pklbin551	-1	TC-ISDB-o.mgf	0	N/A	N/A	N/A	12	0
551	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	16	-1	0	-1	1	0.527799	-1	0	0	0	A1B1-01	N/A	./TR-PTAs-UPLC-0105.pklbin551	-1	TC-ISDB-o.mgf	0	N/A	N/A	N/A	10	0
553	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	155	-1	0	-1	1	0.523509	-1	0	0	0	A1B30-01	N/A	./TR-PTAs-UPLC-0105.pklbin553	-1	TC-ISDB-o.mgf	1.23035	N/A	N/A	N/A	43	0
313	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	393	-1	0	-1	1	0.618307	-1	0	0	0	A3B11-02	N/A	./TR-PTAs-UPLC-0105.pklbin313	-1	TC-ISDB-o.mgf	0.688394	N/A	N/A	N/A	25	0
313	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	413	-1	0	-1	1	0.520789	-1	0	0	0	A3B15-03	N/A	./TR-PTAs-UPLC-0105.pklbin313	-1	TC-ISDB-o.mgf	0.688394	N/A	N/A	N/A	32	0
859	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	559	-1	0	-1	1	0.675726	-1	0	0	0	A4B12-02	N/A	./TR-PTAs-UPLC-0105.pklbin859	-1	TC-ISDB-o.mgf	3.52714	N/A	N/A	N/A	20	0
859	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	560	-1	0	-1	1	0.625159	-1	0	0	0	A4B12-03	N/A	./TR-PTAs-UPLC-0105.pklbin859	-1	TC-ISDB-o.mgf	3.52714	N/A	N/A	N/A	22	0
859	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	591	-1	0	-1	1	0.611175	-1	0	0	0	A4B19-02	N/A	./TR-PTAs-UPLC-0105.pklbin859	-1	TC-ISDB-o.mgf	3.52714	N/A	N/A	N/A	22	0
859	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	544	-1	0	-1	1	0.606225	-1	0	0	0	A4B9-02	N/A	./TR-PTAs-UPLC-0105.pklbin859	-1	TC-ISDB-o.mgf	3.52714	N/A	N/A	N/A	19	0
859	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	593	-1	0	-1	1	0.598171	-1	0	0	0	A4B19-04	N/A	./TR-PTAs-UPLC-0105.pklbin859	-1	TC-ISDB-o.mgf	3.52714	N/A	N/A	N/A	32	0
864	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	119	-1	0	-1	1	0.556104	-1	0	0	0	A1B22-05	N/A	./TR-PTAs-UPLC-0105.pklbin864	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	30	0
864	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	118	-1	0	-1	1	0.552809	-1	0	0	0	A1B22-04	N/A	./TR-PTAs-UPLC-0105.pklbin864	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	30	0
864	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	109	-1	0	-1	1	0.545252	-1	0	0	0	A1B20-04	N/A	./TR-PTAs-UPLC-0105.pklbin864	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	26	0
864	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	66	-1	0	-1	1	0.521726	-1	0	0	0	A1B11-03	N/A	./TR-PTAs-UPLC-0105.pklbin864	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	24	0
864	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	76	-1	0	-1	1	0.519766	-1	0	0	0	A1B13-04	N/A	./TR-PTAs-UPLC-0105.pklbin864	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	26	0
1348	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	25	-1	0	-1	1	0.686326	-1	0	0	0	A1B3-01	N/A	./TR-PTAs-UPLC-0105.pklbin1348	-1	TC-ISDB-o.mgf	3.07369	N/A	N/A	N/A	31	0
1348	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	16	-1	0	-1	1	0.643611	-1	0	0	0	A1B1-01	N/A	./TR-PTAs-UPLC-0105.pklbin1348	-1	TC-ISDB-o.mgf	3.07369	N/A	N/A	N/A	31	0
1348	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	26	-1	0	-1	1	0.627529	-1	0	0	0	A1B3-02	N/A	./TR-PTAs-UPLC-0105.pklbin1348	-1	TC-ISDB-o.mgf	3.07369	N/A	N/A	N/A	37	0
1348	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	17	-1	0	-1	1	0.614043	-1	0	0	0	A1B1-02	N/A	./TR-PTAs-UPLC-0105.pklbin1348	-1	TC-ISDB-o.mgf	3.07369	N/A	N/A	N/A	30	0
1348	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	20	-1	0	-1	1	0.545225	-1	0	0	0	A1B2-01	N/A	./TR-PTAs-UPLC-0105.pklbin1348	-1	TC-ISDB-o.mgf	3.07369	N/A	N/A	N/A	33	0
667	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	118	-1	0	-1	1	0.673624	-1	0	0	0	A1B22-04	N/A	./TR-PTAs-UPLC-0105.pklbin667	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	35	0
667	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	119	-1	0	-1	1	0.672709	-1	0	0	0	A1B22-05	N/A	./TR-PTAs-UPLC-0105.pklbin667	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	35	0
667	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	95	-1	0	-1	1	0.658343	-1	0	0	0	A1B17-04	N/A	./TR-PTAs-UPLC-0105.pklbin667	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	31	0
667	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	50	-1	0	-1	1	0.642621	-1	0	0	0	A1B8-02	N/A	./TR-PTAs-UPLC-0105.pklbin667	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	26	0
667	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	64	-1	0	-1	1	0.637622	-1	0	0	0	A1B11-01	N/A	./TR-PTAs-UPLC-0105.pklbin667	-1	TC-ISDB-o.mgf	0.402183	N/A	N/A	N/A	31	0
669	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	478	-1	0	-1	1	0.558372	-1	0	0	0	A3B28-05	N/A	./TR-PTAs-UPLC-0105.pklbin669	-1	TC-ISDB-o.mgf	1.79394	N/A	N/A	N/A	16	0
669	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	475	-1	0	-1	1	0.5354	-1	0	0	0	A3B28-02	N/A	./TR-PTAs-UPLC-0105.pklbin669	-1	TC-ISDB-o.mgf	1.79394	N/A	N/A	N/A	16	0
1352	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	397	-1	0	-1	1	0.523313	-1	0	0	0	A3B12-02	N/A	./TR-PTAs-UPLC-0105.pklbin1352	-1	TC-ISDB-o.mgf	0.414923	N/A	N/A	N/A	11	0
1352	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	421	-1	0	-1	1	0.512069	-1	0	0	0	A3B17-01	N/A	./TR-PTAs-UPLC-0105.pklbin1352	-1	TC-ISDB-o.mgf	0.414923	N/A	N/A	N/A	7	0
1352	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	380	-1	0	-1	1	0.507878	-1	0	0	0	A3B8-03	N/A	./TR-PTAs-UPLC-0105.pklbin1352	-1	TC-ISDB-o.mgf	0.414923	N/A	N/A	N/A	11	0
125	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	324	-1	0	-1	1	0.536682	-1	0	0	0	A2B30-01	N/A	./TR-PTAs-UPLC-0105.pklbin125	-1	TC-ISDB-o.mgf	0.194251	N/A	N/A	N/A	42	0
125	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	325	-1	0	-1	1	0.504652	-1	0	0	0	A2B30-02	N/A	./TR-PTAs-UPLC-0105.pklbin125	-1	TC-ISDB-o.mgf	0.194251	N/A	N/A	N/A	40	0
561	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	95	-1	0	-1	1	0.671632	-1	0	0	0	A1B17-04	N/A	./TR-PTAs-UPLC-0105.pklbin561	-1	TC-ISDB-o.mgf	4.82619	N/A	N/A	N/A	34	0
561	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	119	-1	0	-1	1	0.641805	-1	0	0	0	A1B22-05	N/A	./TR-PTAs-UPLC-0105.pklbin561	-1	TC-ISDB-o.mgf	4.82619	N/A	N/A	N/A	36	0
561	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	118	-1	0	-1	1	0.639305	-1	0	0	0	A1B22-04	N/A	./TR-PTAs-UPLC-0105.pklbin561	-1	TC-ISDB-o.mgf	4.82619	N/A	N/A	N/A	36	0
561	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	70	-1	0	-1	1	0.624854	-1	0	0	0	A1B12-03	N/A	./TR-PTAs-UPLC-0105.pklbin561	-1	TC-ISDB-o.mgf	4.82619	N/A	N/A	N/A	26	0
561	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	101	-1	0	-1	1	0.623477	-1	0	0	0	A1B19-01	N/A	./TR-PTAs-UPLC-0105.pklbin561	-1	TC-ISDB-o.mgf	4.82619	N/A	N/A	N/A	34	0
562	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	95	-1	0	-1	1	0.671632	-1	0	0	0	A1B17-04	N/A	./TR-PTAs-UPLC-0105.pklbin562	-1	TC-ISDB-o.mgf	5.89868	N/A	N/A	N/A	34	0
562	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	119	-1	0	-1	1	0.641805	-1	0	0	0	A1B22-05	N/A	./TR-PTAs-UPLC-0105.pklbin562	-1	TC-ISDB-o.mgf	5.89868	N/A	N/A	N/A	36	0
562	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	118	-1	0	-1	1	0.639305	-1	0	0	0	A1B22-04	N/A	./TR-PTAs-UPLC-0105.pklbin562	-1	TC-ISDB-o.mgf	5.89868	N/A	N/A	N/A	36	0
562	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	70	-1	0	-1	1	0.624854	-1	0	0	0	A1B12-03	N/A	./TR-PTAs-UPLC-0105.pklbin562	-1	TC-ISDB-o.mgf	5.89868	N/A	N/A	N/A	26	0
562	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	101	-1	0	-1	1	0.623477	-1	0	0	0	A1B19-01	N/A	./TR-PTAs-UPLC-0105.pklbin562	-1	TC-ISDB-o.mgf	5.89868	N/A	N/A	N/A	34	0
130	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	193	-1	0	-1	1	0.570491	-1	0	0	0	A2B3-01	N/A	./TR-PTAs-UPLC-0105.pklbin130	-1	TC-ISDB-o.mgf	0.788053	N/A	N/A	N/A	33	0
130	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	183	-1	0	-1	1	0.542107	-1	0	0	0	A2B1-01	N/A	./TR-PTAs-UPLC-0105.pklbin130	-1	TC-ISDB-o.mgf	0.788053	N/A	N/A	N/A	27	0
130	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	188	-1	0	-1	1	0.507682	-1	0	0	0	A2B2-01	N/A	./TR-PTAs-UPLC-0105.pklbin130	-1	TC-ISDB-o.mgf	0.788053	N/A	N/A	N/A	34	0
610	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	590	-1	0	-1	1	0.512631	-1	0	0	0	A4B19-01	N/A	./TR-PTAs-UPLC-0105.pklbin610	-1	TC-ISDB-o.mgf	0.894986	N/A	N/A	N/A	17	0
136	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	162	-1	0	-1	1	0.532993	-1	0	0	0	A1B31-03	N/A	./TR-PTAs-UPLC-0105.pklbin136	-1	TC-ISDB-o.mgf	0.0644797	N/A	N/A	N/A	38	0
136	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	157	-1	0	-1	1	0.5034	-1	0	0	0	A1B30-03	N/A	./TR-PTAs-UPLC-0105.pklbin136	-1	TC-ISDB-o.mgf	0.0644797	N/A	N/A	N/A	38	0
1376	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	250	-1	0	-1	1	0.615294	-1	0	0	0	A2B15-01	N/A	./TR-PTAs-UPLC-0105.pklbin1376	-1	TC-ISDB-o.mgf	0.871326	N/A	N/A	N/A	42	0
1376	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	255	-1	0	-1	1	0.607056	-1	0	0	0	A2B16-02	N/A	./TR-PTAs-UPLC-0105.pklbin1376	-1	TC-ISDB-o.mgf	0.871326	N/A	N/A	N/A	42	0
1376	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	247	-1	0	-1	1	0.593403	-1	0	0	0	A2B14-03	N/A	./TR-PTAs-UPLC-0105.pklbin1376	-1	TC-ISDB-o.mgf	0.871326	N/A	N/A	N/A	39	0
1376	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	222	-1	0	-1	1	0.574849	-1	0	0	0	A2B9-01	N/A	./TR-PTAs-UPLC-0105.pklbin1376	-1	TC-ISDB-o.mgf	0.871326	N/A	N/A	N/A	32	0
1376	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	263	-1	0	-1	1	0.558919	-1	0	0	0	A2B17-05	N/A	./TR-PTAs-UPLC-0105.pklbin1376	-1	TC-ISDB-o.mgf	0.871326	N/A	N/A	N/A	33	0
584	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	162	-1	0	-1	1	0.506406	-1	0	0	0	A1B31-03	N/A	./TR-PTAs-UPLC-0105.pklbin584	-1	TC-ISDB-o.mgf	0.257919	N/A	N/A	N/A	33	0
585	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	162	-1	0	-1	1	0.506406	-1	0	0	0	A1B31-03	N/A	./TR-PTAs-UPLC-0105.pklbin585	-1	TC-ISDB-o.mgf	0.257919	N/A	N/A	N/A	33	0
141	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	255	-1	0	-1	1	0.601911	-1	0	0	0	A2B16-02	N/A	./TR-PTAs-UPLC-0105.pklbin141	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	40	0
141	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	222	-1	0	-1	1	0.599329	-1	0	0	0	A2B9-01	N/A	./TR-PTAs-UPLC-0105.pklbin141	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	29	0
141	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	304	-1	0	-1	1	0.598221	-1	0	0	0	A2B26-01	N/A	./TR-PTAs-UPLC-0105.pklbin141	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	37	0
141	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	261	-1	0	-1	1	0.597409	-1	0	0	0	A2B17-03	N/A	./TR-PTAs-UPLC-0105.pklbin141	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	29	0
141	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	247	-1	0	-1	1	0.588349	-1	0	0	0	A2B14-03	N/A	./TR-PTAs-UPLC-0105.pklbin141	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	38	0
142	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	155	-1	0	-1	1	0.575232	-1	0	0	0	A1B30-01	N/A	./TR-PTAs-UPLC-0105.pklbin142	-1	TC-ISDB-o.mgf	0.841821	N/A	N/A	N/A	53	0
142	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	156	-1	0	-1	1	0.515379	-1	0	0	0	A1B30-02	N/A	./TR-PTAs-UPLC-0105.pklbin142	-1	TC-ISDB-o.mgf	0.841821	N/A	N/A	N/A	44	0
590	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	255	-1	0	-1	1	0.596624	-1	0	0	0	A2B16-02	N/A	./TR-PTAs-UPLC-0105.pklbin590	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	35	0
590	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	247	-1	0	-1	1	0.595828	-1	0	0	0	A2B14-03	N/A	./TR-PTAs-UPLC-0105.pklbin590	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	37	0
590	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	222	-1	0	-1	1	0.594311	-1	0	0	0	A2B9-01	N/A	./TR-PTAs-UPLC-0105.pklbin590	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	29	0
590	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	304	-1	0	-1	1	0.578534	-1	0	0	0	A2B26-01	N/A	./TR-PTAs-UPLC-0105.pklbin590	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	34	0
590	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	249	-1	0	-1	1	0.576557	-1	0	0	0	A2B14-05	N/A	./TR-PTAs-UPLC-0105.pklbin590	-1	TC-ISDB-o.mgf	0.201075	N/A	N/A	N/A	31	0
146	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	380	-1	0	-1	1	0.593135	-1	0	0	0	A3B8-03	N/A	./TR-PTAs-UPLC-0105.pklbin146	-1	TC-ISDB-o.mgf	0.622384	N/A	N/A	N/A	29	0
